cancer,presonyrs,age,service
6,60840,0-24,veteran
21,157175,25-29,veteran
54,176134,30-34,veteran
118,186514,35-39,veteran
97,135475,40-44,veteran
58,42620,45-49,veteran
56,25001,50-54,veteran
54,13710,55-59,veteran
34,6163,60-64,veteran
9,1575,65-69,veteran
2,273,70+,veteran
18,208487,0-24,non-vet
60,303832,25-29,non-veteran
122,325421,30-34,non-veteran
191,312242,35-39,non-veteran
108,165597,40-44,non-veteran
74,54396,45-49,non-veteran
88,40716,50-54,non-veteran
120,33801,55-59,non-veteran
141,26618,60-64,non-veteran
108,17404,65-69,non-veteran
99,14146,70+,non-veteran
